,id,stco,name,yr,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,subreg
570,3402562430,34025,"Red Bank borough, Monmouth County, New Jersey",2000,416,3288,2970,16570,19540,50,214,12602,municipality,ONJ
571,3402562430,34025,"Red Bank borough, Monmouth County, New Jersey",2010,187,1092,2891,6828,9719,47,100,5402,municipality,ONJ
572,3402564410,34025,"Roosevelt borough, Monmouth County, New Jersey",2000,22,30,46,1302,1348,14,44,1192,municipality,ONJ
573,3402564410,34025,"Roosevelt borough, Monmouth County, New Jersey",2010,18,8,39,634,673,3,9,596,municipality,ONJ
574,3402565130,34025,"Rumson borough, Monmouth County, New Jersey",2000,104,30,150,9574,9724,4,34,9402,municipality,ONJ
575,3402565130,34025,"Rumson borough, Monmouth County, New Jersey",2010,65,10,104,4702,4806,5,26,4596,municipality,ONJ
576,3402566240,34025,"Sea Bright borough, Monmouth County, New Jersey",2000,70,34,122,3108,3230,2,20,2982,municipality,ONJ
577,3402566240,34025,"Sea Bright borough, Monmouth County, New Jersey",2010,24,9,65,1187,1252,4,7,1143,municipality,ONJ
578,3402566330,34025,"Sea Girt borough, Monmouth County, New Jersey",2000,4,4,26,3406,3432,0,10,3388,municipality,ONJ
579,3402566330,34025,"Sea Girt borough, Monmouth County, New Jersey",2010,2,0,19,1458,1477,3,2,1451,municipality,ONJ
580,3402567350,34025,"Shrewsbury borough, Monmouth County, New Jersey",2000,82,20,90,4880,4970,0,22,4756,municipality,ONJ
581,3402567350,34025,"Shrewsbury borough, Monmouth County, New Jersey",2010,57,16,60,2722,2782,6,12,2631,municipality,ONJ
582,3402567365,34025,"Shrewsbury township, Monmouth County, New Jersey",2000,156,244,116,1628,1744,4,56,1168,municipality,ONJ
583,3402567365,34025,"Shrewsbury township, Monmouth County, New Jersey",2010,62,111,111,816,927,3,18,622,municipality,ONJ
584,3402570110,34025,"Spring Lake borough, Monmouth County, New Jersey",2000,14,22,32,5548,5580,4,18,5490,municipality,ONJ
585,3402570110,34025,"Spring Lake borough, Monmouth County, New Jersey",2010,23,7,34,2313,2347,7,2,2274,municipality,ONJ
586,3402570140,34025,"Spring Lake Heights borough, Monmouth County, New Jersey",2000,28,82,178,8516,8694,14,22,8370,municipality,ONJ
587,3402570140,34025,"Spring Lake Heights borough, Monmouth County, New Jersey",2010,38,23,103,3830,3933,8,22,3739,municipality,ONJ
588,3402573020,34025,"Tinton Falls borough, Monmouth County, New Jersey",2000,1124,2786,936,21494,22430,72,256,17256,municipality,ONJ
589,3402573020,34025,"Tinton Falls borough, Monmouth County, New Jersey",2010,640,1317,780,13718,14498,20,156,11585,municipality,ONJ
590,3402574540,34025,"Union Beach borough, Monmouth County, New Jersey",2000,118,74,688,8738,9426,18,114,8414,municipality,ONJ
591,3402574540,34025,"Union Beach borough, Monmouth County, New Jersey",2010,90,52,431,4315,4746,22,50,4101,municipality,ONJ
592,3402574900,34025,"Upper Freehold township, Monmouth County, New Jersey",2000,76,66,204,5978,6182,18,84,5734,municipality,ONJ
593,3402574900,34025,"Upper Freehold township, Monmouth County, New Jersey",2010,218,104,160,4906,5066,12,37,4535,municipality,ONJ
594,3402576460,34025,"Wall township, Monmouth County, New Jersey",2000,462,216,504,37270,37774,58,136,36398,municipality,ONJ
595,3402576460,34025,"Wall township, Monmouth County, New Jersey",2010,316,369,577,19432,20009,33,125,18589,municipality,ONJ
596,3402579310,34025,"West Long Branch borough, Monmouth County, New Jersey",2000,142,320,362,12554,12916,28,186,11878,municipality,ONJ
597,3402579310,34025,"West Long Branch borough, Monmouth County, New Jersey",2010,84,128,321,6192,6513,16,53,5911,municipality,ONJ
598,3402706610,34027,"Boonton town, Morris County, New Jersey",2000,872,466,828,12438,13266,60,238,10802,municipality,INJ
599,3402706610,34027,"Boonton town, Morris County, New Jersey",2010,595,261,703,5873,6576,31,118,4868,municipality,INJ
600,3402706640,34027,"Boonton township, Morris County, New Jersey",2000,260,74,124,6318,6442,8,52,5924,municipality,INJ
601,3402706640,34027,"Boonton township, Morris County, New Jersey",2010,126,43,118,3090,3208,2,22,2897,municipality,INJ
602,3402709040,34027,"Butler borough, Morris County, New Jersey",2000,190,66,536,11090,11626,24,56,10754,municipality,INJ
603,3402709040,34027,"Butler borough, Morris County, New Jersey",2010,168,59,642,5333,5975,13,46,5047,municipality,INJ
604,3402712100,34027,"Chatham borough, Morris County, New Jersey",2000,344,16,316,11820,12136,20,40,11400,municipality,INJ
605,3402712100,34027,"Chatham borough, Morris County, New Jersey",2010,304,66,291,5671,5962,19,34,5248,municipality,INJ
606,3402712130,34027,"Chatham township, Morris County, New Jersey",2000,740,64,268,14516,14784,12,58,13642,municipality,INJ
607,3402712130,34027,"Chatham township, Morris County, New Jersey",2010,470,52,242,7189,7431,9,35,6623,municipality,INJ
608,3402712580,34027,"Chester borough, Morris County, New Jersey",2000,30,8,184,2274,2458,4,18,2214,municipality,INJ
609,3402712580,34027,"Chester borough, Morris County, New Jersey",2010,24,9,163,1033,1196,2,9,989,municipality,INJ
610,3402712610,34027,"Chester township, Morris County, New Jersey",2000,226,90,222,9906,10128,10,52,9528,municipality,INJ
611,3402712610,34027,"Chester township, Morris County, New Jersey",2010,176,50,219,5271,5490,6,36,5003,municipality,INJ
612,3402717650,34027,"Denville township, Morris County, New Jersey",2000,1082,230,568,23526,24094,48,158,22008,municipality,INJ
613,3402717650,34027,"Denville township, Morris County, New Jersey",2010,823,146,577,12110,12687,25,107,11009,municipality,INJ
614,3402718070,34027,"Dover town, Morris County, New Jersey",2000,702,1542,15564,12388,27952,52,212,9880,municipality,INJ
615,3402718070,34027,"Dover town, Morris County, New Jersey",2010,377,687,9645,4595,14240,29,83,3419,municipality,INJ
616,3402719210,34027,"East Hanover township, Morris County, New Jersey",2000,1822,92,464,17192,17656,4,130,15144,municipality,INJ
617,3402719210,34027,"East Hanover township, Morris County, New Jersey",2010,1033,65,409,8347,8756,13,52,7184,municipality,INJ
618,3402723910,34027,"Florham Park borough, Morris County, New Jersey",2000,538,130,304,13566,13870,8,42,12848,municipality,INJ
619,3402723910,34027,"Florham Park borough, Morris County, New Jersey",2010,571,419,469,8982,9451,27,95,7870,municipality,INJ
620,3402729550,34027,"Hanover township, Morris County, New Jersey",2000,1586,208,688,19224,19912,18,94,17318,municipality,INJ
621,3402729550,34027,"Hanover township, Morris County, New Jersey",2010,1109,115,465,10207,10672,18,68,8897,municipality,INJ
622,3402729700,34027,"Harding township, Morris County, New Jersey",2000,52,26,78,4680,4758,8,38,4556,municipality,INJ
623,3402729700,34027,"Harding township, Morris County, New Jersey",2010,76,25,80,2837,2917,8,19,2709,municipality,INJ
624,3402734980,34027,"Jefferson township, Morris County, New Jersey",2000,316,222,882,27932,28814,70,220,27104,municipality,INJ
625,3402734980,34027,"Jefferson township, Morris County, New Jersey",2010,663,213,893,15170,16063,33,107,14154,municipality,INJ
626,3402737110,34027,"Kinnelon borough, Morris County, New Jersey",2000,368,56,292,12820,13112,24,44,12328,municipality,INJ
627,3402737110,34027,"Kinnelon borough, Morris County, New Jersey",2010,328,59,271,7192,7463,9,34,6762,municipality,INJ
628,3402740290,34027,"Lincoln Park borough, Morris County, New Jersey",2000,844,294,914,16518,17432,28,154,15198,municipality,INJ
629,3402740290,34027,"Lincoln Park borough, Morris County, New Jersey",2010,592,145,715,7845,8560,25,83,7000,municipality,INJ
630,3402741362,34027,"Long Hill township, Morris County, New Jersey",2000,620,58,430,12510,12940,16,80,11736,municipality,INJ
631,3402741362,34027,"Long Hill township, Morris County, New Jersey",2010,388,35,422,6050,6472,14,41,5572,municipality,INJ
632,3402742510,34027,"Madison borough, Morris County, New Jersey",2000,1002,806,1538,24714,26252,132,274,22500,municipality,INJ
633,3402742510,34027,"Madison borough, Morris County, New Jersey",2010,668,373,1064,11024,12088,20,109,9854,municipality,INJ
634,3402745330,34027,"Mendham borough, Morris County, New Jersey",2000,124,34,154,7306,7460,10,14,7124,municipality,INJ
635,3402745330,34027,"Mendham borough, Morris County, New Jersey",2010,72,32,97,3470,3567,8,13,3345,municipality,INJ
636,3402745360,34027,"Mendham township, Morris County, New Jersey",2000,162,56,106,7242,7348,6,30,6988,municipality,INJ
637,3402745360,34027,"Mendham township, Morris County, New Jersey",2010,138,53,116,3978,4094,3,28,3756,municipality,INJ
638,3402746860,34027,"Mine Hill township, Morris County, New Jersey",2000,132,164,440,5116,5556,12,42,4766,municipality,INJ
639,3402746860,34027,"Mine Hill township, Morris County, New Jersey",2010,144,101,578,2248,2826,10,28,1965,municipality,INJ
640,3402747670,34027,"Montville township, Morris County, New Jersey",2000,3808,278,766,30428,31194,48,248,26046,municipality,INJ
641,3402747670,34027,"Montville township, Morris County, New Jersey",2010,2780,180,607,15380,15987,27,161,12232,municipality,INJ
642,3402748090,34027,"Morris township, Morris County, New Jersey",2000,1288,1820,1208,32484,33692,70,204,29102,municipality,INJ
643,3402748090,34027,"Morris township, Morris County, New Jersey",2010,890,976,1206,16064,17270,42,140,14016,municipality,INJ
644,3402748210,34027,"Morris Plains borough, Morris County, New Jersey",2000,304,116,204,7802,8006,24,26,7332,municipality,INJ
645,3402748210,34027,"Morris Plains borough, Morris County, New Jersey",2010,207,111,201,3957,4158,3,32,3604,municipality,INJ
646,3402748300,34027,"Morristown town, Morris County, New Jersey",2000,1152,4596,7650,22630,30280,120,360,16402,municipality,INJ
647,3402748300,34027,"Morristown town, Morris County, New Jersey",2010,684,1953,4804,10374,15178,44,132,7561,municipality,INJ
648,3402748480,34027,"Mountain Lakes borough, Morris County, New Jersey",2000,276,18,92,5384,5476,12,28,5050,municipality,INJ
649,3402748480,34027,"Mountain Lakes borough, Morris County, New Jersey",2010,211,12,59,2650,2709,1,20,2406,municipality,INJ
650,3402748690,34027,"Mount Arlington borough, Morris County, New Jersey",2000,270,134,292,6976,7268,22,68,6482,municipality,INJ
651,3402748690,34027,"Mount Arlington borough, Morris County, New Jersey",2010,131,88,286,3859,4145,5,29,3606,municipality,INJ
652,3402749080,34027,"Mount Olive township, Morris County, New Jersey",2000,2104,1238,1940,33110,35050,108,386,29274,municipality,INJ
653,3402749080,34027,"Mount Olive township, Morris County, New Jersey",2010,1599,1102,2193,18534,20727,79,193,15561,municipality,INJ
654,3402750130,34027,"Netcong borough, Morris County, New Jersey",2000,52,48,272,3702,3974,0,40,3562,municipality,INJ
655,3402750130,34027,"Netcong borough, Morris County, New Jersey",2010,69,95,417,2209,2626,2,17,2026,municipality,INJ
656,3402756460,34027,"Parsippany-Troy Hills township, Morris County, New Jersey",2000,13584,2410,5192,74876,80068,224,1274,57384,municipality,INJ
657,3402756460,34027,"Parsippany-Troy Hills township, Morris County, New Jersey",2010,11648,1377,3278,38882,42160,103,736,25018,municipality,INJ
658,3402758110,34027,"Pequannock township, Morris County, New Jersey",2000,382,50,548,20038,20586,26,52,19528,municipality,INJ
659,3402758110,34027,"Pequannock township, Morris County, New Jersey",2010,225,57,467,11733,12200,20,56,11375,municipality,INJ
660,3402761890,34027,"Randolph township, Morris County, New Jersey",2000,3376,804,1658,33280,34938,76,240,28784,municipality,INJ
661,3402761890,34027,"Randolph township, Morris County, New Jersey",2010,1983,488,1820,16707,18527,38,175,14023,municipality,INJ
662,3402763300,34027,"Riverdale borough, Morris County, New Jersey",2000,88,38,148,3674,3822,14,14,3520,municipality,INJ
663,3402763300,34027,"Riverdale borough, Morris County, New Jersey",2010,151,31,181,2709,2890,3,35,2489,municipality,INJ
664,3402764050,34027,"Rockaway borough, Morris County, New Jersey",2000,602,130,870,9066,9936,18,56,8260,municipality,INJ
665,3402764050,34027,"Rockaway borough, Morris County, New Jersey",2010,376,137,693,4323,5016,9,36,3765,municipality,INJ
666,3402764080,34027,"Rockaway township, Morris County, New Jersey",2000,1830,744,1974,31456,33430,46,246,28590,municipality,INJ
667,3402764080,34027,"Rockaway township, Morris County, New Jersey",2010,1195,393,1848,16569,18417,39,155,14787,municipality,INJ
668,3402764980,34027,"Roxbury township, Morris County, New Jersey",2000,1278,578,1540,33336,34876,66,184,31230,municipality,INJ
669,3402764980,34027,"Roxbury township, Morris County, New Jersey",2010,996,348,1356,16223,17579,25,158,14696,municipality,INJ
670,3402775890,34027,"Victory Gardens borough, Morris County, New Jersey",2000,122,494,1074,1200,2274,4,38,542,municipality,INJ
671,3402775890,34027,"Victory Gardens borough, Morris County, New Jersey",2010,28,172,696,422,1118,4,4,214,municipality,INJ
672,3402777240,34027,"Washington township, Morris County, New Jersey",2000,458,194,540,24022,24562,38,86,23246,municipality,INJ
673,3402777240,34027,"Washington township, Morris County, New Jersey",2010,434,167,533,12685,13218,20,79,11985,municipality,INJ
674,3402780390,34027,"Wharton borough, Morris County, New Jersey",2000,302,302,1858,7462,9320,50,114,6694,municipality,INJ
675,3402780390,34027,"Wharton borough, Morris County, New Jersey",2010,289,159,1845,3117,4962,17,61,2591,municipality,INJ
676,3402900000,34029,"County subdivisions not defined, Ocean County, New Jersey",2000,0,0,0,0,0,0,0,0,municipality,ONJ
677,3402900000,34029,"County subdivisions not defined, Ocean County, New Jersey",2010,0,0,0,0,0,0,0,0,municipality,ONJ
678,3402903050,34029,"Barnegat township, Ocean County, New Jersey",2000,228,386,712,21562,22274,24,158,20766,municipality,ONJ
679,3402903050,34029,"Barnegat township, Ocean County, New Jersey",2010,291,414,905,15647,16552,23,131,14788,municipality,ONJ
680,3402903130,34029,"Barnegat Light borough, Ocean County, New Jersey",2000,4,4,6,1302,1308,2,2,1290,municipality,ONJ
681,3402903130,34029,"Barnegat Light borough, Ocean County, New Jersey",2010,0,3,10,522,532,1,1,517,municipality,ONJ
682,3402903520,34029,"Bay Head borough, Ocean County, New Jersey",2000,2,4,28,2066,2094,2,18,2040,municipality,ONJ
683,3402903520,34029,"Bay Head borough, Ocean County, New Jersey",2010,3,4,8,810,818,0,1,802,municipality,ONJ
684,3402903940,34029,"Beach Haven borough, Ocean County, New Jersey",2000,12,2,82,2036,2118,0,12,2010,municipality,ONJ
685,3402903940,34029,"Beach Haven borough, Ocean County, New Jersey",2010,7,1,93,916,1009,0,4,904,municipality,ONJ
686,3402904180,34029,"Beachwood borough, Ocean County, New Jersey",2000,160,116,558,14272,14830,28,56,13912,municipality,ONJ
687,3402904180,34029,"Beachwood borough, Ocean County, New Jersey",2010,122,124,543,7690,8233,7,40,7397,municipality,ONJ
688,3402905305,34029,"Berkeley township, Ocean County, New Jersey",2000,272,732,1380,69486,70866,46,274,68162,municipality,ONJ
689,3402905305,34029,"Berkeley township, Ocean County, New Jersey",2010,379,556,1441,34912,36353,45,180,33752,municipality,ONJ
690,3402907420,34029,"Brick township, Ocean County, New Jersey",2000,1242,952,3928,112002,115930,232,604,108972,municipality,ONJ
691,3402907420,34029,"Brick township, Ocean County, New Jersey",2010,853,928,3509,56016,59525,113,381,53741,municipality,ONJ
692,3402918670,34029,"Eagleswood township, Ocean County, New Jersey",2000,6,0,22,2148,2170,8,8,2126,municipality,ONJ
693,3402918670,34029,"Eagleswood township, Ocean County, New Jersey",2010,9,11,36,1219,1255,0,7,1192,municipality,ONJ
694,3402930390,34029,"Harvey Cedars borough, Ocean County, New Jersey",2000,2,4,22,592,614,2,0,584,municipality,ONJ
695,3402930390,34029,"Harvey Cedars borough, Ocean County, New Jersey",2010,0,2,3,295,298,0,0,293,municipality,ONJ
696,3402934530,34029,"Island Heights borough, Ocean County, New Jersey",2000,14,4,30,2688,2718,12,26,2632,municipality,ONJ
697,3402934530,34029,"Island Heights borough, Ocean County, New Jersey",2010,13,2,28,1336,1364,1,15,1305,municipality,ONJ
698,3402934680,34029,"Jackson township, Ocean County, New Jersey",2000,1242,2080,3092,57136,60228,96,590,53128,municipality,ONJ
699,3402934680,34029,"Jackson township, Ocean County, New Jersey",2010,1178,1766,2743,38582,41325,89,384,35165,municipality,ONJ
700,3402937380,34029,"Lacey township, Ocean County, New Jersey",2000,200,94,706,37020,37726,50,162,36514,municipality,ONJ
701,3402937380,34029,"Lacey township, Ocean County, New Jersey",2010,155,101,799,20468,21267,40,129,20043,municipality,ONJ
702,3402937770,34029,"Lakehurst borough, Ocean County, New Jersey",2000,96,206,242,3260,3502,22,24,2912,municipality,ONJ
703,3402937770,34029,"Lakehurst borough, Ocean County, New Jersey",2010,40,142,203,1698,1901,10,42,1464,municipality,ONJ
704,3402938550,34029,"Lakewood township, Ocean County, New Jersey",2000,1232,9146,11790,70542,82332,172,894,59098,municipality,ONJ
705,3402938550,34029,"Lakewood township, Ocean County, New Jersey",2010,637,3921,10429,43572,54001,85,330,38599,municipality,ONJ
706,3402939390,34029,"Lavallette borough, Ocean County, New Jersey",2000,8,12,64,4568,4632,6,18,4524,municipality,ONJ
