,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,H0010001,NAME
24625,36,,3649825,160,13207,4707,13207,4707,Nesconset CDP
24631,36,,3650067,160,14199,3402,14199,3402,New Cassel CDP
24639,36,,3650397,160,10257,3376,10257,3376,New Hyde Park village
24644,36,,3650727,160,403,316,403,316,New Suffolk CDP
24652,36,,3651286,160,1564,625,1564,625,Nissequogue village
24655,36,,3651396,160,18643,5628,18643,5628,North Amityville CDP
24656,36,,3651418,160,763,246,763,246,Northampton CDP
24657,36,,3651440,160,17927,6430,17927,6430,North Babylon CDP
24660,36,,3651495,160,19619,4742,19619,4742,North Bay Shore CDP
24661,36,,3651517,160,20583,6866,20583,6866,North Bellmore CDP
24662,36,,3651528,160,11900,3670,11900,3670,North Bellport CDP
24670,36,,3652078,160,4266,1535,4266,1535,North Great River CDP
24671,36,,3652188,160,1162,732,1162,732,North Haven village
24672,36,,3653022,160,5464,2500,5464,2500,North Hills village
24674,36,,3653198,160,12000,4016,12000,4016,North Lindenhurst CDP
24675,36,,3653231,160,747,234,747,234,North Lynbrook CDP
24676,36,,3653253,160,17829,6103,17829,6103,North Massapequa CDP
24677,36,,3653264,160,12238,4137,12238,4137,North Merrick CDP
24678,36,,3653275,160,15657,5024,15657,5024,North New Hyde Park CDP
24679,36,,3653319,160,6751,2421,6751,2421,North Patchogue CDP
24680,36,,3653396,160,7347,3128,7347,3128,Northport village
24682,36,,3653561,160,5461,3587,5461,3587,North Sea CDP
24685,36,,3653748,160,18197,5638,18197,5638,North Valley Stream CDP
24687,36,,3653775,160,1566,813,1566,813,Northville CDP
24688,36,,3653792,160,11931,4282,11931,4282,North Wantagh CDP
24689,36,,3653852,160,4637,3512,4637,3512,Northwest Harbor CDP
24693,36,,3654056,160,4325,2832,4325,2832,Noyack CDP
24696,36,,3654111,160,268,233,268,233,Oak Beach CDP
24697,36,,3654144,160,7430,3240,7430,3240,Oakdale CDP
24699,36,,3654430,160,153,591,153,591,Ocean Beach village
24700,36,,3654441,160,32637,11552,32637,11552,Oceanside CDP
